t,trans_x,trans_y,trans_z,rot_x,rot_y,rot_z,
11.2636,1.61257,0.190826,0.979189,2.51627,0.00624026,2.50743,
11.2767,1.61264,0.192879,0.979115,2.51521,0.00624767,2.50611,
11.2898,1.61269,0.194932,0.979058,2.51439,0.00625334,2.50495,
11.3027,1.61272,0.196985,0.979016,2.51382,0.00625727,2.50394,
11.3155,1.61273,0.199038,0.97899,2.51351,0.00625945,2.50308,
11.3284,1.61271,0.201092,0.97898,2.51345,0.00625987,2.50237,
11.3413,1.61268,0.203144,0.978987,2.51364,0.00625852,2.50181,
11.3549,1.61263,0.205197,0.97901,2.5141,0.00625537,2.5014,
11.3702,1.61255,0.20725,0.97905,2.51481,0.00625041,2.50115,
11.3875,1.61246,0.209302,0.979106,2.51579,0.00624362,2.50104,
11.4045,1.61234,0.211353,0.979179,2.51704,0.00623497,2.5011,
11.4239,1.61221,0.213402,0.979269,2.51856,0.00622444,2.50131,
11.4485,1.61205,0.215449,0.979374,2.52035,0.006212,2.50167,
11.471,1.61187,0.217493,0.979496,2.52241,0.00619763,2.5022,
11.4925,1.61167,0.219534,0.979633,2.52476,0.00618131,2.50289,
11.5128,1.61145,0.221572,0.979786,2.52739,0.00616299,2.50375,
11.5363,1.61121,0.223607,0.979953,2.53031,0.00614266,2.50477,
11.5663,1.61095,0.225637,0.980135,2.53351,0.00612027,2.50597,
